author,cate,deep,fromUrl,handle,html,keywords,link_text,publish_time,rule,source,text,title,url,website
,国内,1,,1,,,习近平将出席庆祝改革开放40周年大会发表重要讲话,2018年12月17日,,新华网,"新华社北京12月16日电　庆祝改革开放40周年大会12月18日上午10时在人民大会堂举行。中共中央总书记、国家主席、中央军委主席习近平将出席大会并发表重要讲话。
    届时，中央广播电视总台、新华网将进行现场直播，人民网、央视网、中国网等中央重点新闻网站和人民日报客户端、新华社客户端、央视新闻客户端等新媒体平台同步转播。",庆祝改革开放40周年大会12月18日上午在京举行 习近平将出席大会并发表重要讲话,http://www.cankaoxiaoxi.com/china/20181217/2365607.shtml,CanKao
卫嘉,国内,1,,1,,,外媒：中国开启历史性太空任务 将助推中国在航天领域抱,2018年12月09日,,参考消息网,"12月9日报道
    外媒称，中国启动了历史性的太空任务。携带月球车的嫦娥四号探测器成功发射，开启探索月球背面之旅。这是人类首次月球背面软着陆探测任务。中国雄心勃勃的太空计划又向前迈出一步。
    据西班牙《国家报》网站12月7日报道，嫦娥四号——嫦娥是中国神话中生活在月球上的女神——将于明年1月初在月球着陆。之后，其携带的月球车将开始巡视探测月球表面并传回数据，这些数据有望解答关于月球背面的一些主要疑问。
    报道称，月球背面的表面与我们能看到的那一面差别很大。月球朝向地球的这一面有许多布满玄武岩的“月海”，地势较开阔平坦，撞击坑较少。月球背面则布满了大大小小的撞击坑，而且月表结构成分似乎也有所不同。中国此次探测任务将收集这一未知区域的地质构造数据。
    报道还称，嫦娥四号的主着陆区为月球背面一个名叫冯·卡门撞击坑的地方。这个撞击坑是月球南极附近的艾特肯盆地的一部分。艾特肯盆地是月球上最大、最古老的撞击坑，也是太阳系里已知最大的撞击坑。科学家认为该盆地可能含有来自月球深层土壤的物质，这可能将提供重要信息。",外媒：中国开启历史性太空任务 将助推中国在航天领域抱负_《参考消息》官方网站,http://www.cankaoxiaoxi.com/china/20181209/2364323.shtml,CanKao
朱方雨,国内,1,,1,,,法媒：俄部分解除对乌港口封锁 紧张局势有所缓解,2018年12月05日,,参考消息网,">
    >
    >
    核心提示：乌克兰基础设施部长弗拉基米尔·奥梅良说：“对别尔江斯克港和马里乌波尔港的封锁已被部分解除……来往船只正通过刻赤海峡驶向乌克兰各港口……航运已部分恢复。”
    12月5日报道
    法媒称，基辅政府4日称，俄罗斯已开始允许一些船只进入亚速海边的乌克兰港口，这可能标志着该地区的紧张局势有所缓解。
    据法新社12月4日报道，乌克兰基础设施部长弗拉基米尔·奥梅良说：“对别尔江斯克港和马里乌波尔港的封锁已被部分解除……来往船只正通过刻赤海峡驶向乌克兰各港口……航运已部分恢复。”
    奥梅良说，他希望在未来数天内对这些港口的封锁能被完全解除，被捕水兵也能获释。
    报道称，此前乌克兰指责莫斯科阻止商船进出港口，亚速海边这两个大港能否正常运转对乌克兰的出口至关重要。
    凡注明“来源：参考消息网”的所有作品，未经本网授权，不得转载、摘编或以其他方式使用。
    精品推荐
    美媒称，住在昆斯区、现年52岁的乔·阿马托是最先拍到它的人之一，他说：“我这辈子从来没有见过这样的鸟。”
    美国《洛杉矶时报》网站
    2018-12-04 08:12:26
    外媒称，美国前总统比尔·克林顿披露老布什在椭圆形办公室留给他的一封信，并为老布什写下道别信。
    阿根廷布宜诺斯艾利斯经济新闻网
    2018-12-04 00:09:01
    贝克三世12月2日在描述这位美国第41任总统生命的最后时刻时回忆说：“他睁开一只眼睛并俏皮地说，‘好吧，你最好快点’。他的幽...
    美联社
    2018-12-04 08:23:14
    根据官方统计数字，截至9月底，外国资产管理公司、主权财富基金和央行已将它们持有的中国国内股票和债券（以人民币计价）总额增...
    英国《金融时报》网站
    2018-12-05 00:12:01
    法媒称，科恩曾是特朗普最亲密的盟友、特朗普集团的高管，他上周承认在关于在莫斯科建造特朗普大楼而与俄罗斯权势人物接触的证词...
    法新社
    2018-12-05 00:12:01
    美媒称，政府开支数据显示，从现在到明年6月，特工处将为数量不明的“高尔夫车”向位于德尔雷比奇的一家企业支付92740美元。
    美国石英财经网站
    2018-12-04 00:09:01
    中欧大学以英语教学为主，被认为是该区顶尖大学之一，但过去两年却成为匈牙利极右翼总理欧尔班的瞄准目标，部分原因是该校与“金...
    台湾联合新闻网
    2018-12-04 14:17:35
    随着中国军舰定期在印度洋巡逻，印度政府批准了一项扩充和升级海军的计划，引入56艘新军舰和潜艇。
    印度《论坛报》网站
    2018-12-05 10:38:24
    澳大利亚母亲莉维亚·王透露，澳大利亚约有40万名华人代购，日运数以万罐澳大利亚奶粉到中国。
    香港《东方日报》网站
    2018-12-05 00:12:01
    新媒称，当初进行首架F-16V战机性能提升时，美方没有考虑到台湾地区气候潮湿高盐分问题，但台军本身是有考虑且定期进行锈蚀预防...
    新加坡《联合早报》网站
    2018-12-05 08:14:53",法媒：俄部分解除对乌港口封锁 紧张局势有所缓解_《参考消息》官方网站,http://www.cankaoxiaoxi.com/china/20181205/2362775.shtml,CanKao
王天僚,国内,1,,1,,,外媒称中美元首会晤成G20焦点：世界期待两国化解贸易争,2018年12月02日,,参考消息网,">
    >
    >
    核心提示：外媒称，特朗普与习近平在12月1日举行会晤，此次会晤是峰会的焦点，各国政府、市场和企业都在期待这次会晤的成果。
    12月2日报道
    外媒称，中国国家主席习近平和主要发展中经济体的领导人，11月30日在阿根廷举行的二十国集团（G20）峰会前夕谴责了保护主义。
    反对保护主义呼声四起
    据路透社11月30日报道，给布宜诺斯艾利斯G20峰会蒙上阴影的是世界最大的两个经济体美国和中国之间的贸易争端。
    报道称，习近平和其他主要新兴经济体——巴西、俄罗斯、印度和南非——的领导人发表声明，呼吁开放国际贸易和推动世贸组织与时俱进。
    报道称，他们呼吁世贸组织所有成员反对与世贸组织规则不符的单边主义和保护主义措施。
    另据阿根廷布宜诺斯艾利斯经济新闻网11月30日报道，金砖国家11月30日在布宜诺斯艾利斯举行的金砖国家领导人非正式会晤中，一致同意继续推动多边主义，反对保护主义。
    报道称，会晤由金砖国家机制轮值主席国南非总统拉马福萨主持。俄罗斯总统普京、巴西总统特梅尔、中国国家主席习近平和印度总理莫迪出席会晤。五国领导人均表示要共同维护多边主义和以规则为基础的国际秩序，反对保护主义、单边主义。
    报道还称，在地缘政治高度紧张和中美贸易战的背景下，G20在布宜诺斯艾利斯启动了全球最重要的多边峰会。
    此外据《俄罗斯报》网站11月30日报道，金砖国家领导人在G20峰会前夕举行的会议后发表新闻公告。俄罗斯、中国、印度、巴西和南非的国家领导人呼吁反对贸易保护主义。
    报道称，领导人号召世贸组织所有成员对抗此类行径。他们相信，必须坚持公平和基于相互尊重的国际秩序。
    他们提出，要把握好世界贸易组织改革方向。世界贸易组织的核心价值和基本原则不能丢，发展中国家享有的特殊和差别待遇必须保障。
    又据德国《时代》周报网站11月30日报道，俄罗斯总统普京在阿根廷G20峰会开幕之际谴责了制裁和保护主义。他在布宜诺斯艾利斯说：“非法的单方面制裁和保护主义的恶劣做法正在蔓延，联合国宪章、世界贸易组织规则和国际公认的法律准则被绕过。”
    报道指出，俄罗斯总统显然暗指奉行保护主义的美国总统特朗普的政策。
    此外据德国电视一台网站11月30日报道，德国基社盟政治家、欧洲议会议员马库斯·费贝尔批评美国奉行强硬的保护主义贸易政策。他说：“我们还处在一个想要全球贸易的世界里吗？还是说在我们所处的世界里强大的经济区正相互孤立，就像美国目前试图做的那样？”
    报道称，对欧盟来说，和美国的贸易争端也还没有结束。欧洲最大的担忧是，特朗普可能对欧洲汽车加征25%的关税。那将主要打击德国汽车制造商。
    主管贸易的欧盟委员塞西莉亚·马尔姆斯特伦早些时候在布鲁塞尔警告称：“我不认为会发生贸易战，但局势令人担忧并可能升级。”
    特朗普称谈判有“好迹象”
    据法新社11月30日报道，在与中国国家主席习近平就解决贸易问题举行会谈前，美国总统特朗普11月30日称出现了“好迹象”。
    报道称，特朗普正在布宜诺斯艾利斯出席G20峰会，并于12月1日（当地时间）与习近平共进晚餐。他说：“有一些好迹象，我们看看会发生什么。”
    他表示：“如果我们能达成协议，那将是好事。我想他们想达成协议，我想我们也想达成协议。”
    另据英国《金融时报》网站11月30日报道，特朗普说，与中国的谈判出现了“好迹象”，可能达成缓和世界两个最大经济体之间贸易战的协议。这带来了停火即将到来的希望。
    报道称，美国总统11月30日在与日本首相安倍晋三举行会谈前说：“我们正在非常努力地工作。如果我们能达成协议，那将是好事。”
    报道还称，美国贸易代表莱特希泽早前就为这一天定下了积极的基调。他说，“如果晚宴不能成功”，他会“感到非常惊讶”。
    据三名知情人士透露，试图达成妥协的两国官员已经讨论过，如果习近平和特朗普本周末同意达成协议，两国官员将于12月在华盛顿举行新一轮贸易谈判。
    此外，英国《金融时报》网站11月30日刊登文章称，在特朗普的任期内有许多关键时刻，从他在埃菲尔铁塔与法国总统马克龙共进晚餐，到与俄罗斯总统普京在赫尔辛基举行会晤，再到与朝鲜最高领导人金正恩在新加坡的历史性会晤。然而，12月1日他与中国国家主席习近平的会晤可能会让所有这些会晤都相形见绌，且特朗普可能承受不起任何失败的感觉。
    文章称，本周，通用汽车宣布大规模裁员和关闭数家工厂，并将部分原因归咎于特朗普的关税政策。还有许多美国企业都在抱怨成本上升，并警告说，它们无力承受贸易冲突进一步升级带来的影响。
    “他在国内全是坏消息，所以他会期待取得一个好消息。”一名关注此次会晤的前白宫官员说。
    西班牙《经济学家报》网站11月30日刊登文章称，特朗普与习近平在G20峰会期间的会晤被视为世界经济和金融市场的决定性时刻。如果特朗普希望在与中国的贸易中取得“巨大成功”，并在2020年的选举中借此自夸，他必须尽快与习近平达成协议。
    文章指出，特朗普认为关税战可在美国创造就业机会。这种理论可能在经济衰退和大规模失业时期有效，但现在美国正处于充分就业状态，不存在明显的空间来让国内生产替代中国产品。这意味着关税成本将主要落在美国消费者和进口商身上，而不是损害中国的经济活动和就业。
    各方期待中美达成协议
    据英国《泰晤士报》网站11月30日报道，上任不到两年，特朗普总统就对中国发动了贸易战，在经济上对美国一些最亲密的盟友发动了攻势，将基于规则的国际秩序推向了崩溃的边缘。
    报道称，特朗普总统与中国国家主席习近平在布宜诺斯艾利斯共进晚餐。此次两位领导人的面对面会谈，点燃了世界最大的两个经济体关系缓和的希望。
    瑞银集团财富管理公司英国投资部负责人杰弗里·余（音）说，这样的论坛“不能再被忽视了，这倒不是因为G20主会场的那些人，而是因为在旁边会议室的那两个人”。
    另据西班牙“金融”网站11月30日报道，特朗普与习近平在12月1日举行会晤，此次会晤是峰会的焦点，各国政府、市场和企业都在期待这次会晤的成果。
    贝克·麦坚时国际律师事务所华盛顿区主任特德·墨菲说，中美宣布达成“某种协议”并不会让人感到意外，希望这种共识能有开阔的格局。
    报道指出， 事实上，如果双方不能达成谅解，将导致全球经济陷入危险境地。
    白宫国家安全委员会前官员罗德·亨特认为，“美中双方有很大可能达成某种协议”。
    凡注明“来源：参考消息网”的所有作品，未经本网授权，不得转载、摘编或以其他方式使用。
    精品推荐
    这个配对方式是基于一个T恤实验。研究人员要求男性穿上T恤，并将穿过充满体味的T恤交给其他女性，请她们依嗅觉来评断对这些T恤气...
    台湾联合新闻网
    2018-12-02 00:20:02
    报道称，当安田纯平获得释放，于10月25日返回日本之后，社交媒体上出现激烈批评的声音，认为他给国家外交带来了极大的麻烦。有传...
    德国之声电台网站
    2018-12-02 00:20:02
    根据一项睡眠研究，男性称有女性在身边，他们会睡得更好，女性则表示刚好相反。如果你像11%的美国成年人那样怕黑的话，或者你只...
    英国《每日邮报》网站
    2018-12-02 00:20:02
    卡尼表示，综合所有的经济演算模型，“无论选择哪种脱欧路线，英国的经济都会比不脱欧更差”；但若是英国与欧盟最终走向“无协议...
    台湾联合新闻网
    2018-11-30 00:18:01
    报道指出，美国奥巴马政府过去曾否决台湾采购66架F-16C/D Block 50/52的申请，但此案现在将形同复活。
    台湾联合新闻网
    2018-11-30 00:18:01
    全球“我也是”（MeToo）运动震撼了韩国高度父权文化下的政治和社会，这些女性部分受此运动的启发，开始挑战人们长期以来所形成...
    美国《纽约时报》网站
    2018-12-01 00:13:01
    日本政府要求被告的日企等拒绝赔偿。韩方正在以韩国国务总理李洛渊为主商讨对策，但预计今后下级法院的审理也将不断作出类似判决...
    共同社
    2018-11-30 00:18:01
    这个配对方式是基于一个T恤实验。研究人员要求男性穿上T恤，并将穿过充满体味的T恤交给其他女性，请她们依嗅觉来评断对这些T恤气...
    台湾联合新闻网
    2018-12-02 00:20:02",外媒称中美元首会晤成G20焦点：世界期待两国化解贸易争端}_《参考消息》官方网站,http://www.cankaoxiaoxi.com/china/20181202/2361353.shtml,CanKao
卫嘉,国内,1,,1,,,日媒：日本北海道一建筑工地46名中国人失踪,2018年12月03日,,参考消息网,">
    >
    >
    核心提示：日媒称，据施工相关人士称，被捕的中国人9月前后起为在大型太阳能发电站建设现场工作，而被千叶县的企业派遣至当地。共58人在距离施工现场约17公里的木古内町的独栋房屋或公寓里生活。
    12月3日报道
    日媒称，有关在日本北海道知内町施工现场工作的约10名中国人因不携带护照或非法滞留、涉嫌违反《出入境管理及难民认定法》被逮捕一案，12月3日采访施工相关人士获悉，在同一现场工作过的46名中国人目前下落不明。
    据共同社12月3日报道，北海道警方11月26日逮捕了27岁～62岁的男女共11人。其中10名男性在知内町的施工现场工作过。2名男性涉嫌不携带护照，8名男性和1名女性涉嫌非法滞留。11月26日凌晨3点多，他们在JR木古内站附近时，受到警察盘问，之后被捕。
    据施工相关人士称，被捕的中国人9月前后起为在大型太阳能发电站建设现场工作，而被千叶县的企业派遣至当地。共58人在距离施工现场约17公里的木古内町的独栋房屋或公寓里生活。
    据称，其中1人在11月25日病逝，11人被捕后，其他相关人士前往木古内町的住处时发现，剩下的中国人均不知所踪。
    凡注明“来源：参考消息网”的所有作品，未经本网授权，不得转载、摘编或以其他方式使用。
    精品推荐
    这个配对方式是基于一个T恤实验。研究人员要求男性穿上T恤，并将穿过充满体味的T恤交给其他女性，请她们依嗅觉来评断对这些T恤气...
    台湾联合新闻网
    2018-12-02 00:20:02
    美媒称，事实上，作为社会信任体系的一部分而推出的许多措施旨在遏制官员腐败，解决官员渎职问题，提高法院判决的执行效率以及惩...
    美国《华盛顿邮报》
    2018-12-03 08:22:04
    巴拿马副总统兼外长德圣马洛表示，在与中国建交后，巴拿马在政治、经济和地区竞争力方面有显著提升。
    埃菲社
    2018-12-03 10:06:06
    报道称，2016年，X-2“心神”验证机试飞成功，日本成为第四个开发自己的隐形战机的国家。但“心神”验证机可能会提前退役，日本...
    美国《防务新闻》周刊网站
    2018-12-02 14:34:21
    美军在叙利亚北部地区设立观察哨所，将在控制土耳其部队和库尔德武装之间时不时爆发的冲突方面发挥重要作用。但是，这可能会惹怒...
    美国《军队时报》网站
    2018-12-03 00:16:02
    回首往事，张东红庆幸自己坚持了下来。她承认自己曾在交通和生活条件等方面遇到困难，但她知道这些困难不会一直存在，长远来看，...
    香港《南华早报》网站
    2018-12-03 11:09:00
    90后年轻一代可能没听过寻呼机，不过这是90年代最重要的联络工具。因为只能靠传送数字来表达讯息，而诞生许多谐音的数字暗码，像...
    台湾联合新闻网
    2018-12-03 14:43:30
    报道称，“科学和科技历史”拍卖会拍卖的物品包括16世纪至21世纪的书籍、手稿、科学仪器、原创作品以及其他装置。这些拍卖品被分...
    埃菲社
    2018-12-02 14:44:59
    报道称，这一旅游项目旨在帮助年轻人开阔眼界，以方便他们了解欧洲大陆不同的风土人情。参与者则应通过社交媒体或在学校做报告的...
    德国之声电台网站
    2018-12-03 15:18:49
    报道指出，随着大气变暖，大气中含有的水分增加，因而导致降水增多。研究人员发现，虽然每年降水天数没有变化，但强暴雨天气增多...
    美国《科学新闻》双周刊网站
    2018-12-02 14:47:26",日媒：日本北海道一建筑工地46名中国人失踪_《参考消息》官方网站,http://www.cankaoxiaoxi.com/china/20181203/2361933.shtml,CanKao
朱方雨,国内,1,,1,,,“若美国人无法入藏，就拒绝中国官员入美”？外交部回应,2018年12月14日,,参考消息网,"12月14日报道
    2018年12月14日，外交部发言人陆慷主持例行记者会，就美国国会参院审议通过“2018年对等进入西藏法案”一事作出回应。
    有现场记者提问：“美国国会通过法案要求允许美国外交官、记者和游客进入西藏，如果以上人士无法进入西藏，美国国会希望拒绝中国官员进入美国。你对此有何评论？”
    陆慷称，美国国会通过的有关法案罔顾事实，粗暴干涉中国内政，违反国际关系基本准则，中方对此坚决反对，并已向美方提出严正交涉。
    陆慷表示，西藏事务纯属中国内政，不容其他国家干涉。外国人员进入西藏，可以通过正常渠道办理。事实上，每年都有大量中外人士到西藏访问、旅游和经商。就拿美国来说，自2015年以来就有将近4万人次的美国人士到西藏，这其中就包括美国会众院少数党领袖、参议员等。这些都充分证明，美国会法案对中方的指责完全站不住脚，也是中国政府和人民绝不能接受的。
    陆慷称，中方敦促美国行政部门立即采取有效措施，阻止该案签署成法，以免严重损害中美关系和两国在重要领域的合作。",“若美国人无法入藏，就拒绝中国官员入美”？外交部回应——_《参考消息》官方网站,http://www.cankaoxiaoxi.com/china/20181214/2365540.shtml,CanKao
张威威,财经,1,,1,,,出海记｜美对华发核电禁令 中广核：不影响在英核电站建设,2018年10月15日,1,参考消息网,">
    >
    >
    核心提示：在美国加强对中国民用核技术出口控制后，中国广核集团13日回应称，中广核在英国开展的项目，没有使用美国核技术，并且核技术出口过程受到中国监管当局严格管制，公司将继续推动英国新建核电项目。
    10月15日报道
    港媒援引美国《纽约时报》报道称，美国能源部11日宣布，由于中国可能将美国核技术转移到新一代中国核潜艇、核动力航空母舰等军用技术上，因此发布禁令，将严格限制民用核技术输出中国，此限制立即生效。有媒体分析称，此举是属于特朗普政府的一项协同行动，目的是在中美贸易摩擦期间向中国施加新的压力。
    据《香港商报》网站10月14日报道，外媒称，此举会对美国核电厂商造成“重大打击”，美国官员承认，这些立即生效的新国家安全措施可能会“在短期内给美国核能开发商带来一些痛苦”，但这都是必要的。中国核电集团官网则发文表示，中国核电已储备了包括华龙一号、VVER1200、AP1000等三代机型足够的厂址，可根据国家核准的节奏安排开工建设。业内人士称，中广核不是中兴，不会出现类似的“窒息”的情况。
    美指责缺乏证据
    据报道，新的出口政策实时生效，但在今年1月1日前审批的项目不受影响。
    虽然美国没有“全面禁止对华核出口”，但是美国将严格审查对华出口的核产品。有核电行业人士解释称，此次美国对华的核电禁令主要集中在技术、设备和材料三方面，尤其是设备，比如对于AP1000、CAP1000这种较为美国化的三代核电技术设备还是批准的，但是对于CAP1400、华龙一号等国产三代核电技术的设备，则是直接断供。
    相关阅读
    凡注明“来源：参考消息网”的所有作品，未经本网授权，不得转载、摘编或以其他方式使用。
    精品推荐
    针对美方所谓“中国的发展靠的是窃取知识产权，强制技术转让”的指控，崔大使表示，这些指控毫无事实依据，对中国人民不公平。中...
    2018-10-15 09:52:08
    外媒称，美国总统特朗普10月13日称，他希望保留与沙特之间一项金额达1100亿美元的军火协议。特朗普说，如果美国退出该协议，俄罗...
    路透社
    2018-10-15 09:28:10
    报道指出，由于金融圈人士常年都处在精神高度紧张状态，健康长期透支、身体被掏空，于是酗酒、药品（包括毒品）、赌博、性等都可...
    英国广播公司网站
    2018-10-15 00:19:01
    外媒称，中国国务院总理李克强承诺，中国将竭尽全力支持上海合作组织在促进地区和平和繁荣方面更加有效。
    《今日巴基斯坦报》网站
    2018-10-15 10:44:40
    港媒称，默克公司高管袁泽志（音）说，该公司的抗癌药爱必妥在中国市场已从4200多元降至1295元，为全球最低价格。
    香港《南华早报》网站
    2018-10-15 00:19:01
    天文学家瑞安·香农在一份声明中说：“我们在一年时间内发现了20次快速射电暴，几乎是2007年它们被首次发现以来在全球范围探测到...
    美国趣味科学网站
    2018-10-14 00:19:02
    外媒称，美国总统特朗普10月13日称，他希望保留与沙特之间一项金额达1100亿美元的军火协议。特朗普说，如果美国退出该协议，俄罗...
    路透社
    2018-10-15 09:28:10
    BBC称，就像家庭背景以及教育程度一样，一个美国人所居住的地方可以对他们未来的机遇产生巨大影响。
    英国广播公司网站
    2018-10-14 00:19:02
    报道称，联盟号飞船失事是俄罗斯1983年以来首次发生搭载载人飞船的运载火箭出现事故。外媒称，联盟号飞船事故严重打击了俄罗斯航...
    路透社
    2018-10-14 11:01:38
    特朗普在11日接受采访时被问到，卡舒吉是否遭到沙特的谋杀。他说：“目前他们否认，他们断然否认。可能是他们干的吗？有这个可能...
    法新社
    2018-10-14 10:45:10",出海记｜美对华发核电禁令 中广核：不影响在英核电站建设}_《参考消息》官方网站,http://www.cankaoxiaoxi.com/finance/20181015/2339330.shtml,CanKao
贾元熙,国内,1,,1,,,外媒：中美领导人G20会晤将吸引到最多关注,2018年12月01日,,参考消息网,">
    >
    >
    核心提示：报道称，在本次峰会上，中美领导人的会晤将吸引到最多关注。因为当前恰逢双方贸易战正酣之际，并很可能在一个月后步入新阶段。
    12月1日报道
    外媒称，11月30日，多国领导人齐聚布宜诺斯艾利斯出席G20峰会。所有目光都集中在美国总统特朗普和中国国家主席习近平身上，他们可能见面并讨论不断升级的中美贸易战。
    据美国“智谋者”网站11月30日报道，自特朗普上任以来，美国总统从未访问过拉美，而中国却向该地区张开怀抱，并将继续这样做。
    美国伍德罗·威尔逊国际学者中心与阿根廷“多数人政治”咨询公司11月的一项调查显示，在1009名受访者中，大多数人认为中国是阿根廷的朋友，他们对习近平的认可度大于对特朗普的认可度。
    59%的受访者对特朗普持负面看法。美国伍德罗·威尔逊国际学者中心拉美项目高级顾问本杰明·赫丹说：“特朗普在贸易、移民以及气候变化等一系列问题上的观点，与该地区的民意格格不入。”赫丹说，特朗普缺少对拉美的政策，这为中国获得影响力提供了机会。
    报道称，虽然美国一直试图说服拉美国家与中国保持距离，但很显然，人气可能正在决定性地转向东方。
    另据俄新社11月30日报道，G20成员领导人将于11月30日和12月1日在布宜诺斯艾利斯召开会议，这将是今年最后一次如此高规格的国际峰会。
    相关阅读
    凡注明“来源：参考消息网”的所有作品，未经本网授权，不得转载、摘编或以其他方式使用。
    精品推荐
    美媒称，北斗是中国雄心勃勃地取代西方在航空航天领域主导地位的行动的一部分，一家国有企业正在研发取代空中客车公司和波音公司...
    彭博社
    2018-12-01 00:13:01
    陈朝根把自己生活的巨大改善归功于有幸生活在一个不断发展的经济体中，而不是考试成绩好或做出正确的职业选择。他说：“我上学和...
    香港《南华早报》网站
    2018-11-30 00:18:01
    报道称，民营企业家可以加入共产党的同时，许多中国民营企业都在公司内自行组建共产党组织，但最吸引外界注意的是多家中国科技公...
    英国广播公司网站
    2018-11-30 10:43:00
    蒂芙尼首席执行官亚历山德罗·博廖洛说：“不是中国人的需求减少了，而是中国游客的旅游活动减少了。”
    美联社
    2018-11-30 00:18:01
    卡尼表示，综合所有的经济演算模型，“无论选择哪种脱欧路线，英国的经济都会比不脱欧更差”；但若是英国与欧盟最终走向“无协议...
    台湾联合新闻网
    2018-11-30 00:18:01
    由于日本防卫省增加进口高额的美国武器，需要支付的武器贷款急剧增多，导致防卫省请求国内企业“推迟回收货款”的罕见事态。
    日本《东京新闻》
    2018-11-30 11:11:03
    蔡红军11月28日说：“我仍然相信，而且瑞银集团的观点也认为，中国仍然是世界上投资机会最多的国家。或许我们可以保守地说，是世...
    美国消费者新闻与商业频道网站
    2018-11-30 00:18:01
    报道指出，美国奥巴马政府过去曾否决台湾采购66架F-16C/D Block 50/52的申请，但此案现在将形同复活。
    台湾联合新闻网
    2018-11-30 00:18:01
    日本政府要求被告的日企等拒绝赔偿。韩方正在以韩国国务总理李洛渊为主商讨对策，但预计今后下级法院的审理也将不断作出类似判决...
    共同社
    2018-11-30 00:18:01
    28日，在UNESCO保护非物质文化遗产政府间委员会第13届常会上，中国申报的“藏医药浴法——中国藏族有关生命健康和疾病防治的知识...
    台湾“中央社”
    2018-11-30 11:21:25",外媒：中美领导人G20会晤将吸引到最多关注_《参考消息》官方网站,http://www.cankaoxiaoxi.com/china/20181201/2361181.shtml,CanKao
王天僚,国内,1,,1,,,博尔顿诬蔑中俄与非洲合作 中方：西方开始焦虑 向中国“,2018年12月14日,,参考消息网,"12月14日报道
    在12月14日中国外交部举行的例行记者会上，有记者提问称：“美国总统国家安全事务助理博尔顿12月13日就非洲问题发表了言辞强硬的演讲，他批评中国和俄罗斯在非洲开展‘腐败’的商业行为。中国政府对他的演讲有何回应？”
    中国外交部发言人陆慷就该问题称：“我们注意到美方有关言论，支持非洲和平与发展是国际社会的共同责任。就中方而言，我们始终以开放的态度看待国际社会对非合作，欢迎国际社会各方在尊重非洲的基础上加大对非投入，支持非洲发展。同时，我们始终认为，有关合作应充分尊重非洲意愿，切实符合非洲需要，不干涉非洲内政，不附加任何政治条件。”
    陆慷还表示，谈到对非合作，中方谈论的都是非洲国家需要什么，比如说工业化和农业现代化。但大家可以看看美方有关人士谈非洲时的表态，除了谈论美国自身的利益和需要之外，美方想的不是非洲，而是中国和俄罗斯。这就很有意思了。到底谁在为非洲谋福祉，谁在非洲另有所图，公道自在人心。
    陆慷称：“我们再来看看非洲国家到底怎么看中非合作。在今年9月举行的中非合作论坛北京峰会以及在今年的第73届联大期间，很多非洲国家领导人都明确表示，非洲国家渴望发展，急需资金，期待合作。来自中国的支持和帮助不附加任何政治条件，不干涉非洲国家内政。他们欢迎中国，感谢中国，称赞中国是非洲发展最可信赖的伙伴。纳米比亚总统根哥布说，某些国家对中国在纳米比亚影响力的所谓关切令人厌烦，请不要低估非洲人民的智商，非洲人民知道如何处理自己的事务。赞比亚、布隆迪、科特迪瓦等非洲国家总统也以不同方式公开表示，非洲有着长时间被殖民历史，之后又遭受着经济剥削。现在西方国家没机会了，于是感到焦虑，开始向中国‘开炮’。中国从来没有在非洲殖民的历史，所有与中国的合作都基于提升两国人民福祉的崇高目标。西方让我们离中国远一些，但我们有自己的判断，中国才是非洲真正的朋友，是非洲最重要的合作伙伴。”",博尔顿诬蔑中俄与非洲合作 中方：西方开始焦虑 向中国“开炮”_《参考消息》官方网站,http://www.cankaoxiaoxi.com/china/20181214/2365541.shtml,CanKao
卫嘉,国内,1,,1,,,外媒：加拿大外长称一名加拿大公民在中国失去联系,2018年12月13日,,参考消息网,"12月13日报道
    外媒称，加拿大外长克里斯蒂娅·弗里兰12日表示：另一名加拿大公民在受到中国政府讯问后，失去联系。
    加拿大当地时间12月12日，包括加拿大《环球邮报》、《环球新闻》、《星报》以及英国《卫报》在内多家媒体称，继康明凯于12月10日被拘后，第二名加拿大公民失去联系。
    弗里兰12日称：“一名加拿大公民与我们联系称，正在接受中国政府的问话。随后，我们再也无法联系上他。”",外媒：加拿大外长称一名加拿大公民在中国失去联系_《参考消息》官方网站,http://www.cankaoxiaoxi.com/china/20181213/2365334.shtml,CanKao
